  longitude   latitude      depth        cc    d_to_pb     ratio  thickness  ntremor     azimuth
-123.264006  47.732699  18.511998  0.026010 -16.181002  0.052503   0.000000       70 -135.000000
-123.264006  47.777616  35.394121  0.092790   0.597121  0.284946  12.674613      107 -141.340192
-123.264006  47.822532  37.264482  0.051940   2.299482  0.048581  15.334777      102 -149.036243
-123.264006  47.867448  45.258994  0.010506  10.107994  0.040955  16.957448      130 -158.198591
-123.264006  47.912364  34.874633  0.007548  -0.510367  0.020589  16.888464      134 -168.690068
-123.264006  47.957280  39.684733  0.020296   4.025733  0.068496  16.942261      117  180.000000
-123.264006  48.002196  44.189918  0.064196   8.228918  0.382928  13.521220      167  168.690068
-123.264006  48.047112  39.902187  0.030470   3.584187  0.076919  12.163466      269  158.198591
-123.264006  48.092028  46.306354  0.021806   9.621354  0.051560  19.850556      188  149.036243
-123.264006  48.136944  42.845322  0.001844   5.706322  0.013095  12.290082      279  141.340192
-123.264006  48.181861  43.898676  0.006121   6.304676  0.030199  19.078629      279  135.000000
-123.196937  47.732699  34.837360  0.036623  -1.028640  0.041818  17.688893       89 -128.659808
-123.196937  47.777616  34.269604  0.010340  -1.704396  0.126627  19.705990      166 -135.000000
-123.196937  47.822532  38.218038  0.078552   2.079038  0.414075  15.667475      227 -143.130102
-123.196937  47.867448  37.442712  0.036792   1.121712  0.096125  14.343422      251 -153.434949
-123.196937  47.912364  40.289068  0.037377   3.746068  0.158983  12.932953      181 -165.963757
-123.196937  47.957280  39.217495  0.010737   2.419495  0.039168  16.750134      156  180.000000
-123.196937  48.002196  42.129301  0.114195   5.054301  0.239146  12.657868      227  165.963757
-123.196937  48.047112  41.697022  0.026339   4.302022  0.157915  13.007007      210  153.434949
-123.196937  48.092028  19.458222  0.004557 -18.266778  0.021315   0.000000      175  143.130102
-123.196937  48.136944  44.909685  0.012098   6.776685  0.014529  17.453336      296  135.000000
-123.196937  48.181861  31.987638  0.014182  -6.552362  0.032343  18.610449      346  128.659808
-123.129868  47.732699  14.367871  0.009266 -22.736129  0.046671   0.000000      162 -120.963757
-123.129868  47.777616  34.725522  0.016511  -2.482478  0.141173  12.503686      216 -126.869898
-123.129868  47.822532  33.317027  0.030838  -4.046973  0.341033  12.636326      231 -135.000000
-123.129868  47.867448  41.062612  0.024538   3.528612  0.172351  16.097021      244 -146.309932
-123.129868  47.912364  39.760053  0.035164   2.020053  0.224405  15.243363      132 -161.565051
-123.129868  47.957280  43.134886  0.024013   5.157886  0.058627  13.779483      114  180.000000
-123.129868  48.002196  40.644270  0.063053   2.412270  0.369972  13.244141      231  161.565051
-123.129868  48.047112  40.612877  0.021382   2.085877  0.169602  12.844980      300  146.309932
-123.129868  48.092028  43.668796  0.008180   4.839796  0.017515  16.780497      447  135.000000
-123.129868  48.136944  38.708738  0.074577  -0.491262  0.002819  13.179389      635  126.869898
-123.129868  48.181861  25.410635  0.040927 -14.160365  0.011416  22.908764      510  120.963757
-123.062798  47.732699  39.902187  0.017066   1.551187  0.106723  20.079551      130 -111.801409
